2021 Global Rank Forbes 2000,Company Name,Industry,Country/Territory ,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions  tons CO₂e,Scope 3 emissions  tons CO₂e,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions  tons CO₂e (location based when available),Scope 1+2,Scope 3 emissions  tons CO₂e,Scope 1-3 emissions,Profit per ton in Scope 1+2,Profit per ton in Scope 1+2+3,Share of profit if carbon price for Scope 1-2 is 100 USD,Share of profit if carbon price X for Scope 3,Combined share of profits,Share of Revenue (Sales) Scope 1+2 if carbon price 100 USD,Share of Revenue (sales) Scope 1+2+3 if carbon price 100 USD,CO2 intensity gram CO2/USD. (Scope 1-3/Revenue),1% of profit means,"Datasource emission data (name, link + page nr)", Sales/Revenue,Profit
11,Samsung Electronics,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",South Korea,5 067 000 ,8 733 000,16 607 000,5 726 000,9 079 000,14 805 000,14 726 000,29 531 000,$1 493,$749,#REF!,#REF!,#REF!,#REF!,#REF!,147,$7,"Samsung 2021 Sustainability report, page 81 https://images.samsung.com/is/content/samsung/assets/global/our-values/resource/2021_Sustainability_Report.pdf",$200 700 000 000,$22 110 000 000
12,Toyota Motor        ,Consumer Durables,Japan,1 900 000 ,3 780 000,397 940 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,,"Environmental Report 2020, page 37,38 https://global.toyota/pages/global_toyota/sustainability/report/er/er20_en.pdf",$249 400 000 000,$14 340 000 000
13,Alphabet         ,IT Software & Services,United States,66 686 ,5 911 216,11 669 000,38 694,5 865 000,5 903 694,9 376 000,15 279 694,$6 821,$2 636,#REF!,#REF!,#REF!,#REF!,#REF!,84,$26,"2021 Environmental Report, page 11 https://www.gstatic.com/gumdrop/sustainability/google-2021-environmental-report.pdf",$182 400 000 000,$40 270 000 000
14,Bank of China       ,Banking,China,350 ,65 083,39 000,282,63 394,63 676,-,,$438 941,,#REF!,#VALUE!,,#REF!,#VALUE!,0,,"Sustainability Report 2020, page 88 https://www.bochk.com/dam/bochk/desktop/top/aboutus/esg/report/SustainabilityReport2020_en.pdf",$134 000 000 000,$27 950 000 000
15,Microsoft         ,IT Software & Services,United States,117 956 ,3 832 938,12 007 357,118 100,4 102 000,4 220 100,10 817 706,15 037 806,$12 158,$3 412,#REF!,#REF!,#REF!,#REF!,#REF!,98,$34,"2020 Environmental Sustainability Report, page 73 https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RWyG1q",$153 300 000 000,$51 310 000 000
16,Citigroup         ,Diversified Financials,United States,23 095 ,56 878,126 229,21 236,505 224,526 460,21 829,548 289,$32 424,$31 133,#REF!,#REF!,#REF!,#REF!,#REF!,6,$311,"Global ESG Report, page 57 and 58 https://www.citigroup.com/citi/about/esg/download/2020/Global-ESG-Report-2020.pdf?ieNocache=158",$84 400 000 000,$17 070 000 000
17,Volkswagen Group        ,Consumer Durables,Germany,4 400 000 ,3 360 000,447 000 000,4 340 000,2 800 000,7 140 000,368 000 000,375 140 000,$1 331,$25,#REF!,#REF!,#REF!,#REF!,#REF!,1 476,$0,"Nonfinancial_Report_2020, page 89 https://www.volkswagenag.com/presence/nachhaltigkeit/documents/sustainability-report/2020/Nonfinancial_Report_2020_e.pdf",$254 100 000 000,$9 500 000 000
18,Walmart         ,Retailing,United States,6 520 000 ,12 160 000,--,7 250 000,8 680 000,15 930 000,--,,$848,,#REF!,#VALUE!,,#REF!,#VALUE!,,,https://corporate.walmart.com/esgreport/esg-issues/climate-change,$559 200 000 000,$13 510 000 000
19,Wells Fargo        ,Banking,United States,91 993 ,771 327,3 610 451,82 403,694 011,776 414,2 467 847,3 244 261,$9 518,$2 278,#REF!,#REF!,#REF!,#REF!,#REF!,38,$23,"Goals and Reporting, page 33 https://www08.wellsfargomedia.com/assets/pdf/about/corporate-responsibility/goals-performance-data.pdf",$85 900 000 000,$7 390 000 000
20,Verizon Communications        ,Telecommunications Services,United States,358 753 ,4 006 874,95 971,--,--,--,--,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,,"2020 ESG Report, page 42 https://www.verizon.com/about/sites/default/files/esg-report/2020/Verizon_2020_ESG_Report.pdf",$128 300 000 000,$17 800 000 000
21,UnitedHealth Group        ,Insurance,United States,17 709 ,153 004,429 812,24 487,156 751,181 238,213 495,394 733,$93 137,$42 763,#REF!,#REF!,#REF!,#REF!,#REF!,2,$428,"2020_SustainabilityReport, page 62 https://www.unitedhealthgroup.com/content/dam/UHG/PDF/sustainability/final/2020_SustainabilityReport.pdf",$262 900 000 000,$16 880 000 000
22,China Merchants Bank       ,Banking,China,1 621 ,8 437,--,1 393,8 198,9 591,--,,$1 469 086,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Corporate Social Responsibility Report, page 118 http://file.cmbimg.com/cmbir/202105/af4c85d5-b889-4e0e-8935-7c3df6cdb9bc.pdf",$60 400 000 000,$14 090 000 000
23,Alibaba Group        ,Retailing,China,--,--,--,510000,3710000,,5290000,,,,#REF!,#REF!,,,#REF!,,,"Alibaba Group Carbon Neutrality Action Report, page 10 https://sustainability.alibabagroup.com/download/Alibaba%20Group%20Carbon%20Neutrality%20Action%20Report_20211217_ENG_Final.pdf",$93 800 000 000,$23 300 000 000
24,Allianz         ,Insurance,Germany,42 011 ,366 878,25 711 408,28 714,180 827,209 541,23 314 968,23 524 509,$37 033,$330,#REF!,#REF!,#REF!,#REF!,#REF!,181,$3,"Allianz Group Sustainability Report 2020, page 107 https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/sustainability/documents/Allianz_Group_Sustainability_Report_2020-web.pdf",$129 900 000 000,$7 760 000 000
25,Comcast         ,Media,United States,676 422 ,3 698 533,--,547 084,1 743 000,2 290 084,--,,$4 598,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Carbon-Footprint-Data-Report, page 2 https://update.comcast.com/wp-content/uploads/sites/33/dlm_uploads/2021/04/Carbon-Footprint-Data-Report.pdf",$103 600 000 000,$10 530 000 000
26,Goldman Sachs Group       ,Diversified Financials,United States,12 673 ,21 782,135 473,9 418,141 583,151 001,29 295,180 296,$99 867,$83 640,#REF!,#REF!,#REF!,#REF!,#REF!,3,$836,"2020-sustainability-report, page 72 https://www.goldmansachs.com/our-commitments/sustainability/sustainable-finance/documents/reports/2020-sustainability-report.pdf?source=website",$61 800 000 000,$15 080 000 000
27,Softbank         ,Telecommunications Services,Japan,15 803 ,760 301,--,15 416,605 513,620 929,3 121 487,3 742 416,$24 045,$3 989,#REF!,#REF!,#REF!,#REF!,#REF!,53,$40,"ESG Data, web page https://group.softbank/en/sustainability/esg_data",$70 300 000 000,$14 930 000 000
28,Postal Savings Bank Of China (PSBC)    ,Banking,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,"Corporate Social Responsibility Report, https://www.psbc.com/en/investor_relations/social_responsibility/202103/P020210330379230230398.pdf",$67 200 000 000,$9 280 000 000
29,Tencent Holdings        ,IT Software & Services,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.tencent.com/en-us/responsibility/reports.html,$70 000 000 000,$23 330 000 000
30,BNP Paribas        ,Banking,France,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://group.bnpparibas/uploads/file/bnp_paribas_2020_integrated_report_en.pdf,$102 700 000 000,$7 550 000 000
31,Morgan Stanley        ,Diversified Financials,United States,28 254 ,176 164,99 890,N/A,N/A,N/A,N/A,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,,"Morgan_Stanley_TCFD_Report_2020, page 30 https://www.morganstanley.com/content/dam/msdotcom/en/assets/pdfs/Morgan_Stanley_TCFD_Report_2020.pdf",$56 700 000 000,$13 420 000 000
32,China Mobile        ,Telecommunications Services,Hong Kong,280 000 ,17 040 000,--,240 000,17 940 000,18 180 000,--,,$859,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"2020 Sustainability Report, page 57 https://www.chinamobileltd.com/en/ir/reports/ar2020/sd2020.pdf",$111 300 000 000,$15 620 000 000
33,Facebook         ,IT Software & Services,United States,44 000 ,208 000,4 078 000,29 000,3 454 000,3 483 000,4 029 000,7 512 000,$8 366,$3 879,#REF!,#REF!,#REF!,#REF!,#REF!,87,$39,"2020_FB_Sustainability-Report, page 45 https://sustainability.fb.com/wp-content/uploads/2021/06/2020_FB_Sustainability-Report-3.pdf",$86 000 000 000,$29 140 000 000
34,Johnson & Johnson       ,Drugs & Biotechnology,United States,415 094 ,1 167 140,12 874 161,363 924,641 489,1 005 413,20 006 143,21 011 556,$14 631,$700,#REF!,#REF!,#REF!,#REF!,#REF!,254,$7,"johnson-johnson-2020-health-for-humanity-report, page 84 https://healthforhumanityreport.jnj.com/_document/johnson-johnson-2020-health-for-humanity-report?id=00000179-eebd-d0e3-ad7b-feff30750000",$82 600 000 000,$14 710 000 000
35,Sony         ,Consumer Durables,Japan,188 000 ,1 188 000,14 870 000,189 000,1 204 000,1 393 000,17 077 000,18 470 000,$7 243,$546,#REF!,#REF!,#REF!,#REF!,#REF!,231,$5,"Sustainability Report 2021, page 188 https://www.sony.com/en/SonyInfo/csr/library/reports/SustainabilityReport2021_E.pdf",$79 900 000 000,$10 090 000 000
36,Intel         ,Semiconductors,United States,1 489 000 ,1 299 000,20 342 000,1 973 000,909 000,2 882 000,29 866 000,32 748 000,$7 252,$638,#REF!,#REF!,#REF!,#REF!,#REF!,421,$6,"CSR-2019-20-Full-Report, page 36 https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2019-20-Full-Report.pdf and page 61 http://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2020-21-Full-Report.pdf",$77 870 000 000,$20 900 000 000
37,CVS Health        ,Retailing,United States,157 114 ,1 024 682,21 600 950,165 384,977 380,1 142 764,10 893 887,12 036 651,$6 283,$597,#REF!,#REF!,#REF!,#REF!,#REF!,155,$6,"Sustainability report Annex, page 32-34 https://www.cvshealth.com/sites/default/files/2020-csr-report-appendix.pdf ",$77 900 000 000,$7 180 000 000
38,RBC         ,Banking,Canada,24 814 ,89 769,29 737,23 268,77 668,100 936,11 569,112 505,$87 085,$78 130,#REF!,#REF!,#REF!,#REF!,#REF!,3,$781,"2020-ESG-Report, Page 62 https://www.rbc.com/community-social-impact/_assets-custom/pdf/2020-ESG-Report.PDF",$42 900 000 000,$8 790 000 000
39,Nestlé         ,"Food, Drink & Tobacco",Switzerland,3 300 000 ,2 300 000,--,3 260 000,1 910 000,5 170 000,114 000 000,119 170 000,$2 520,$109,#REF!,#REF!,#REF!,#REF!,#REF!,1 326,$1,"2021-tcfd-report, page 24 https://www.nestle.com/sites/default/files/2022-03/2021-tcfd-report.pdf, 2019 page 58 https://www.nestle.com/sites/default/files/2020-03/creating-shared-value-report-2019-en.pdf",$89 900 000 000,$13 030 000 000
40,HSBC Holdings        ,Banking,United Kingdom,22 000 ,392 000,272 000,20 000,343 000,363 000,81 000,444 000,$10 964,$8 964,#REF!,#REF!,#REF!,#REF!,#REF!,7,$90,"Annual Report and Accounts 2021, page 54 file:///C:/Users/muham/Downloads/220222-annual-report-and-accounts-2021.pdf and report for 2019 is file:///C:/Users/muham/Downloads/200218-co2-emissions-reporting-guidance-2019.pdf ; ESG Datapack 2021, page 7 file:///C:/Users/muham/Downloads/220222-esg-datapack-2021.pdf",$60 600 000 000,$3 980 000 000
41,Daimler         ,Consumer Durables,Germany,1 239 ,2 982,--,1 027 000,1 492 000,2 519 000,--,,$1 640,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Daimler Sustainability Report 2020, page 63 https://sustainabilityreport.daimler.com/2020/servicepages/downloads/files/daimler-sr-2020.pdf",$175 900 000 000,$4 130 000 000
42,TD Bank Group       ,Banking,Canada,50 711 ,107 366,1 435 704,42 512,93 999,136 511,1 769 517,1 906 028,$66 661,$4 774,#REF!,#REF!,#REF!,#REF!,#REF!,49,$48,"2020 ESG Report, page 83 https://www.td.com/document/PDF/ESG/2020-ESG-Report.pdf",$38 800 000 000,$9 100 000 000
43,Nippon Telegraph & Tel      ,Telecommunications Services,Japan,138 000 ,3 060 000,19 650 000,137 000,2 933 000,3 070 000,--,,$2 713,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Esg_report_2021, page 3 https://group.ntt/en/csr/data/pdf/esg_report_2021e.pdf",$110 300 000 000,$8 330 000 000
44,Deutsche Telekom        ,Telecommunications Services,Germany,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.cr-report.telekom.com/site19/facts-figures/environmental-indicators/co2-emissions#atn-15586-15590 ; https://www.cr-report.telekom.com/site19/facts-figures/environmental-indicators/co2-emissions#atn-15586-15590,$115 100 000 000,$4 740 000 000
45,General Electric        ,Conglomerates,United States,1 000 000 ,1 390 000,--,920 000,1 160 000,2 080 000,--,,$2 683,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Sustainability Report, page 8 https://www.ge.com/sites/default/files/ge2020_sustainability_report.pdf",$79 900 000 000,$5 580 000 000
46,Procter & Gamble       ,Household & Personal Products,United States,2 217 000 ,1 843 000,--,2 218 000,402 000,2 620 000,--,,$5 286,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Sustainability / CSR Annual Report, page 157 https://downloads.ctfassets.net/oggad6svuzkv/6nH6D1AQHdsESZJpiRHTw8/f41717fbe7d00e6b63eaf201b6f3ab21/citizenship_report_2020_full__2_.pdf",$74 000 000 000,$13 850 000 000
47,General Motors        ,Consumer Durables,United States,1 589 700 ,4 381 970,249 384 317,1 214 124,3 087 816,4 301 940,249 384 317,253 686 257,$1 495,$25,#REF!,#REF!,#REF!,#REF!,#REF!,2 071,$0,"GM_2020_SR, page 221 https://www.gmsustainability.com/_pdf/resources-and-downloads/GM_2020_SR.pdf",$122 500 000 000,$6 430 000 000
48,Sinopec         ,Oil & Gas Operations,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,http://os.sinopec.com/sosc/en/Resource/Pdf/2021032502.pdf,$271 100 000 000,$4 770 000 000
49,China Life Insurance       ,Insurance,China,22 837 ,119 218,N/A,N/A,N/A,#VALUE!,N/A,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,,"2019 ESG & Social report, page 32 https://www.e-chinalife.com/c/2020-03-25/512578.shtml",$113 800 000 000,$7 260 000 000
50,Industrial Bank        ,Banking,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://download.cib.com.cn/netbank/download/cn/Sustainable_Finance/report_kcxfz_2020en.pdf,$53 800 000 000,$9 650 000 000
51,Sberbank         ,Banking,Russia,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,Acess Denied for each link,$47 300 000 000,$10 450 000 000
52,Mitsubishi UFJ Financial       ,Banking,Japan,19 926 ,368 573,15 918,9 560,162 159,171 719,3 526,175 245,$30 049,$29 444,#REF!,#REF!,#REF!,#REF!,#REF!,3,$294,"MUFG;Sustainability Report, page 74 https://www.mufg.jp/dam/csr/report/2021/en_all.pdf",$56 000 000 000,$5 160 000 000
53,Cigna         ,Insurance,United States,16 894 ,119 427,23 693,--,--,#VALUE!,--,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,,"cigna-connects-2019, page 111 https://www.cigna.com/static/www-cigna-com/docs/about-us/corporate-responsibility/report/cigna-connects-2019-corporate-responsibility-report.pdf",$160 600 000 000,$8 460 000 000
54,AXA Group        ,Insurance,France,37 889 ,62 765,90 584,26 292,40 894,67 186,17 460,84 646,$50 755,$40 285,#REF!,#REF!,#REF!,#REF!,#REF!,1,$403,"Universal Registration Document 2020, page 190 https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com/d6aef906-e41f-40c7-ac9c-29044e98939d_AXA_URD_2020_EN_accessible_b.pdf",$129 500 000 000,$3 410 000 000
55,AIA Group        ,Insurance,Hong Kong,3 640 ,45 263,10 846,2 167,38 029,40 196,2 354,42 550,$143 795,$135 840,#REF!,#REF!,#REF!,#REF!,#REF!,1,$1 358,"AIA_ESG, page 89 https://www.aia.com/content/dam/group/en/esg/AIA_ESG_En.pdf",$42 600 000 000,$5 780 000 000
55,Reliance Industries        ,Oil & Gas Operations,India,47 500 000 ,1 450 000,--,44 670 000,1 250 000,45 920 000,--,,$124,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Natural Capital, https://www.ril.com/ar2020-21/natural-capital.html",$61 200 000 000,$5 700 000 000
57,Bank of Communications       ,Banking,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,file:///C:/Users/muham/Downloads/2020CSRReport.pdf,$67 600 000 000,$11 140 000 000
58,Pfizer         ,Drugs & Biotechnology,United States,697 313 ,1 176 828,--,654 460,551 000,1 205 460,--,,$7 980,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Pfizer_Inc-CDP_Climate_Change_Questionnaire_2021, Page 33 and 34 https://cdn.pfizer.com/pfizercom/Pfizer_Inc-CDP_Climate_Change_Questionnaire_2021.pdf",$47 600 000 000,$9 620 000 000
59,IBM         ,IT Software & Services,United States,80 159 ,827 369,315 095,73 941,530 365,604 306,275 882,880 188,$9 250,$6 351,#REF!,#REF!,#REF!,#REF!,#REF!,12,$64,"2020 IBM and the Environment Report, Page 32 https://www.ibm.com/ibm/environment/annual/IBMEnvReport_2020.pdf",$73 600 000 000,$5 590 000 000
60,Roche Holding        ,Drugs & Biotechnology,Switzerland,--,--,723937,--,--,,7383556,,,,#VALUE!,#VALUE!,,,#VALUE!,,,"SHE goals & performance, page 1 file:///C:/Users/muham/Downloads/scope-3-greenhouse-gas-emissions.pdf ; file:///C:/Users/muham/Downloads/she-greenhouse-gas-emissions.pdf",$62 100 000 000,$15 230 000 000
61,BMW Group        ,Consumer Durables,Germany,642 259 ,302 574,75 042 286,642 885,84 257,727 142,65 100 863,65 828 005,$5 914,$65,#REF!,#REF!,#REF!,#REF!,#REF!,584,$1,"BMW Group Report 2020, page 96 https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/ir/downloads/en/2021/hv/BMW_Group_Report_2020.pdf",$112 800 000 000,$4 300 000 000
62,MetLife         ,Insurance,United States,25 487 ,99 570,28 614,14 515,66 332,80 847,3 224,84 071,$66 917,$64 350,#REF!,#REF!,#REF!,#REF!,#REF!,1,$644,"MetLife 2020 Sustainability Report, page 161 MetLife 2020 Sustainability Report",$67 800 000 000,$5 410 000 000
63,PetroChina         ,Oil & Gas Operations,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,http://www.petrochina.com.cn/ptr/xhtml/images/2020kcxfzbgen.pdf,$280 700 000 000,$2 860 000 000
64,LVMH Moët Hennessy Louis Vuitton     ,Household & Personal Products,France,--,--,2791000,--,--,,4451210,,,,#VALUE!,#VALUE!,,,#VALUE!,,,"2019, Page 43 https://r.lvmh-static.com/uploads/2020/06/lvmh_ra_responsabilite-environnementale_2019_en.pdf ; 2020 page 97 https://r.lvmh-static.com/uploads/2021/04/ac_en_lvmh_reng20_all-accessible.pdf",$50 900 000 000,$5 360 000 000
65,Novartis         ,Drugs & Biotechnology,Switzerland,485 000 ,411 600,191 300,396 400,392 200,788 600,27 000,815 600,$10 233,$9 895,#REF!,#REF!,#REF!,#REF!,#REF!,17,$99,"Novartis in Society ESG Report 2020, page 65 https://www.novartis.com/sites/novartis_com/files/novartis-in-society-report-2020.pdf",$48 600 000 000,$8 070 000 000
66,Taiwan Semiconductor        ,Semiconductors,Taiwan,2 071 642 ,6 697 871,10 614 056,2 450 354,7 459 856,9 910 210,5 511 486,15 421 696,$1 885,$1 211,#REF!,#REF!,#REF!,#REF!,#REF!,321,$12,"2020 Corporate Social Responsibility Report, Page 94 https://esg.tsmc.com/download/file/2020-csr-report/english/pdf/e-all.pdf",$48 100 000 000,$18 680 000 000
67,Home Depot        ,Retail and Wholesale,United States,554 000 ,1 394 000,2 665 000,607 000,1 214 000,1 821 000,2 916 000,4 737 000,$7 068,$2 717,#REF!,#REF!,#REF!,#REF!,#REF!,36,$27,"2021 ESG Report, page 16 https://corporate.homedepot.com/sites/default/files/THD_2021ESGReport_singlepages_0.pdf",$132 000 000 000,$12 870 000 000
68,Siemens         ,Conglomerates,Germany,,,,424 000,253 000,677 000,507 691 000,508 368 000,$7 282,$10,#REF!,#REF!,#REF!,#REF!,#REF!,8 765,$0,"2019, page 29 https://assets.new.siemens.com/siemens/assets/api/uuid:16c327d3-3e02-427e-952f-e7f610d954fe/siemens-sustainability-information-2019.pdf ; 2020, page 77 https://assets.new.siemens.com/siemens/assets/api/uuid:4806da09-01c7-40b1-af91-99af4b726653/sustainability2021-en.pdf",$58 000 000 000,$4 930 000 000
68,Shanghai Pudong Development       ,Banking,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.rns-pdf.londonstockexchange.com/rns/5485A_1-2021-6-2.pdf,$52 300 000 000,$8 450 000 000
70,PepsiCo         ,"Food, Drink & Tobacco",United States,84 646 ,0,621 711,3 916 188,2 840 665,6 756 853,2 128 443,8 885 296,$1 110,$844,#REF!,#REF!,#REF!,#REF!,#REF!,125,$8,"2019, page 49 https://www.pepsico.com/docs/album/esg-topics-policies/2020-cdp-climate-response.pdf?sfvrsn=2df611c8_8 ; 2020, page 1 https://www.pepsico.com/docs/album/esg-topics-policies/apex_independent_assurance_statements.pdf?sfvrsn=b129ba58_10",$71 300 000 000,$7 500 000 000
71,Oracle         ,IT Software & Services,United States,18 210 ,384 730,1 701 461,10 300,419 277,429 577,1 577 176,2 006 753,$29 867,$6 393,#REF!,#REF!,#REF!,#REF!,#REF!,51,$64,"Oracle Corporate Citizenship Data Sheet, page 2 https://www.oracle.com/a/ocom/docs/corporate/citizenship/ccr-datasheet.pdf",$39 700 000 000,$12 830 000 000
72,Sanofi         ,Drugs & Biotechnology,France,530 118 ,352 435,5 110 721,498 091,255 835,753 926,5 233 393,5 987 319,$18 623,$2 345,#REF!,#REF!,#REF!,#REF!,#REF!,146,$23,"DEU Chap 4 - EN Final, page 50 and 51 https://www.sanofi.com/-/media/Project/One-Sanofi-Web/Websites/Global/Sanofi-COM/Home/en/our-responsibility/docs/documents-center/brochures/Declaration-of-Extra-Financial-Performance.pdf?la=en&hash=463A22969391C0FCAC98E2398C80DD0C",$41 100 000 000,$14 040 000 000
